optimizer,regime,eta,steps,loss,delta
muon,coupled,1.0,200,4.5146310154103755e-10,1.795275261784468e-09
muon,coupled,1.081180751076608,200,5.318204106756005e-10,1.6261088031654936e-09
muon,coupled,1.1689518164985782,200,5.832543539726797e-10,1.9155719233054924e-09
muon,coupled,1.263848202934298,200,7.84587160262056e-10,2.753401728838867e-09
muon,coupled,1.3664483492953254,200,3.4091445424939957e-10,1.2720240416541628e-09
muon,coupled,1.4773776525985112,200,6.829958081141831e-10,2.691081357752978e-09
muon,coupled,1.5973122800602544,200,3.7546113182345683e-10,1.5526615548822065e-09
muon,coupled,1.7269832906594351,200,3.407326135453883e-10,8.288050246108014e-10
muon,coupled,1.86718109129192,200,2.2130850319376766e-10,5.849578599281813e-10
muon,coupled,2.0187602546790386,200,1.6236919684575242e-10,4.6484527338463977e-10
muon,coupled,2.182644728397487,200,1.3771925732203862e-10,4.251192731175024e-10
muon,coupled,2.3598334667821943,200,1.3846055193473407e-10,4.5876702436942196e-10
muon,coupled,2.5514065200312888,200,1.698065026206796e-10,6.010609787665544e-10
muon,coupled,2.758531617629183,200,2.625775453489313e-10,9.860743332978927e-10
muon,coupled,2.9824712862168905,200,5.297445858477702e-10,2.1004840089489107e-09
muon,coupled,3.2245905452963948,200,2.46077096449337e-10,5.168976358049804e-12
muon,coupled,3.486365227678085,200,1.7343915008044059e-10,7.515073008335094e-10
muon,coupled,3.7693909753883617,200,7.608147168968816e-10,3.409437621115785e-09
muon,coupled,4.075392965871777,200,8.745966053883399e-11,4.029345745948376e-10
muon,coupled,4.406236427773572,200,6.941969458450602e-10,3.273084470123422e-09
muon,coupled,4.763938010401341,200,8.015937488025886e-11,3.842173246226821e-10
muon,coupled,5.1506780761681235,200,3.750759421072271e-11,8.093525849517391e-13
muon,coupled,5.56881399094527,200,1.6481849126024683e-10,8.086342706548066e-10
muon,coupled,6.02089449333613,200,8.331808249350543e-11,1.8420820424580597e-12
muon,coupled,6.50967523045817,200,7.180373506708975e-12,2.3381296898605797e-13
muon,coupled,7.0381355549315545,200,1.1961335259220423e-10,5.958566973163215e-10
muon,coupled,7.609496685459877,200,5.965104214155039e-11,1.3218315331187114e-12
muon,coupled,8.22724134170047,200,5.103949212082676e-12,3.9745984281580604e-14
muon,coupled,8.895134973108235,200,5.173546946172534e-10,2.584617631029573e-09
muon,coupled,9.617248711152964,200,5.928498946896192e-11,2.9644953158936005e-10
muon,coupled,10.3979841848149,200,2.7967768973102322e-11,7.416289804496046e-13
muon,coupled,11.242100350620863,200,2.226195020287009e-12,5.10702591327572e-14
muon,coupled,12.154742500762865,200,2.0665291866823526e-13,7.482903185973555e-14
muon,coupled,13.141473626117568,200,7.730523812021394e-10,3.865270326031123e-09
muon,coupled,14.208308325339223,200,9.157605974449695e-11,4.578839529756351e-10
muon,coupled,15.36174946671828,200,4.486514314792665e-11,9.545697565727096e-13
muon,coupled,16.60882782627715,200,3.7677006356910406e-12,2.930988785010413e-14
muon,coupled,17.9571449437164,200,2.2814591489817785e-13,3.2862601528904634e-14
muon,coupled,19.414919457438817,200,2.7542690698035865e-15,1.3766765505351941e-14
muon,coupled,20.991037201085547,200,8.102543806250576e-17,6.661338147750939e-16
muon,coupled,22.695105366946684,200,-0.0,0.0
muon,coupled,24.537511066398167,200,-0.0,0.0
muon,coupled,26.52948464431896,200,6.040201001077626e-10,3.0201328105050607e-09
muon,coupled,28.683168133420118,200,7.01410048262021e-11,3.5074054771655483e-10
muon,coupled,31.011689265747787,200,3.353945979184165e-11,8.342215807033426e-13
muon,coupled,33.529241492495565,200,2.6794844468612546e-12,1.0147438445073931e-13
muon,coupled,36.25117049988533,200,2.1361805385357377e-13,3.9968028886505635e-14
muon,coupled,39.19406774847219,200,1.911252132778256e-15,9.547918011776346e-15
muon,coupled,42.37587160604063,200,4.957791929740371e-17,4.440892098500626e-16
muon,coupled,45.81597669054491,200,-0.0,0.0
muon,coupled,49.5353520895917,200,-0.0,0.0
muon,coupled,53.55666917706899,200,-0.0,0.0
muon,coupled,57.90443980602486,200,-0.0,0.0
muon,coupled,62.605165720148214,200,-0.0,0.0
muon,coupled,67.68750009458535,200,-0.0,0.0
muon,coupled,73.18242219076174,200,-0.0,0.0
muon,coupled,79.12342618981323,200,-0.0,0.0
muon,coupled,85.5467253556568,200,-0.0,0.0
muon,coupled,92.49147277217335,200,-0.0,0.0
muon,coupled,100.0,200,-0.0,0.0
